time,AccX,AccY,AccZ,AsX,AsY,AsZ,AngleX,AngleY,AngleZ,vMotor,iMotor,pMotor
2026-5-17 21:32:48:74,0.039,-0.036,-1.146,-9.644,-33.081,12.817,2.08,-10.34,0.52,7.324,465.0,3.32
2026-5-17 21:32:48:94,0.068,0.006,-1.224,-0.244,-36.743,12.756,2.03,-9.5,0.3,6.3,227.8,0.04
2026-5-17 21:32:48:114,0.05,0.007,-1.07,-7.385,-38.086,12.146,1.93,-8.63,0.09,7.328,4.0,0.032
2026-5-17 21:32:48:134,0.06,0.003,-0.987,-15.015,-38.757,11.414,1.68,-7.75,-0.09,6.368,372.2,0.298
2026-5-17 21:32:48:154,0.066,-0.017,-1.174,-10.376,-39.001,11.292,1.43,-6.87,-0.29,6.352,3.8,0.21
2026-5-17 21:32:48:174,0.056,0.002,-1.098,-6.104,-40.588,10.986,1.3,-5.99,-0.47,6.376,12.5,0.288
2026-5-17 21:32:48:194,0.056,0.023,-1.041,-11.414,-42.236,10.315,1.12,-5.08,-0.66,6.372,14.4,0.088
2026-5-17 21:32:48:214,0.06,-0.01,-1.078,-15.015,-44.006,9.644,0.82,-4.15,-0.82,6.372,13.9,0.086
2026-5-17 21:32:48:234,0.059,-0.016,-1.086,-11.963,-46.265,9.277,0.56,-3.19,-0.99,6.412,13.1,0.092
2026-5-17 21:32:48:254,0.059,-0.0,-1.077,-10.132,-47.974,8.85,0.35,-2.2,-1.15,6.372,11.0,0.076
2026-5-17 21:32:48:274,0.066,0.009,-1.102,-13.123,-48.889,8.118,0.12,-1.2,-1.3,6.372,11.7,0.072
2026-5-17 21:32:48:294,0.065,-0.005,-1.083,-15.503,-48.523,7.446,-0.18,-0.21,-1.43,6.372,16.6,0.108
2026-5-17 21:32:48:314,0.063,-0.018,-1.096,-14.16,-48.401,6.897,-0.48,0.75,-1.57,6.372,17.2,0.108
2026-5-17 21:32:48:334,0.062,-0.005,-1.108,-11.658,-48.096,6.47,-0.72,1.7,-1.7,6.372,15.5,0.104
2026-5-17 21:32:48:354,0.063,0.005,-1.092,-13.672,-47.546,5.676,-0.97,2.63,-1.81,6.368,18.2,0.104
2026-5-17 21:32:48:374,0.062,-0.01,-1.104,-17.456,-48.157,4.883,-1.29,3.54,-1.92,6.104,564.0,7.002
2026-5-17 21:32:48:394,0.062,-0.023,-1.127,-13.794,-49.072,4.211,-1.59,4.47,-2.02,5.948,1219.6,7.366
2026-5-17 21:32:48:414,0.08,0.009,-1.402,-11.108,-49.805,3.662,-1.82,5.4,-2.11,5.82,690.9,7.118
2026-5-17 21:32:48:434,0.09,0.035,-1.247,-22.766,-49.011,2.197,-2.16,6.32,-2.19,6.072,448.3,3.798
2026-5-17 21:32:48:454,0.034,-0.073,-1.087,-24.414,-48.828,1.465,-2.64,7.22,-2.24,6.304,784.0,4.074
2026-5-17 21:32:48:474,0.089,-0.027,-1.289,-12.878,-47.363,1.038,-2.98,8.09,-2.3,6.18,334.7,2.166
2026-5-17 21:32:48:494,0.082,0.041,-1.118,-7.996,-46.631,0.061,-3.11,8.93,-2.33,6.28,524.4,2.454
2026-5-17 21:32:48:514,0.061,0.001,-0.975,-18.005,-44.434,-0.977,-3.38,9.71,-2.36,6.352,3.2,0.016
2026-5-17 21:32:48:534,0.07,-0.018,-1.03,-14.343,-44.189,-1.465,-3.67,10.48,-2.37,6.372,3.0,0.088
2026-5-17 21:32:48:554,0.064,0.0,-0.98,-8.85,-44.8,-2.38,-3.84,11.25,-2.37,6.828,31.7,0.282
2026-5-17 21:32:48:574,0.09,0.012,-0.998,-7.568,-43.091,-2.991,-3.96,11.98,-2.35,6.308,21.0,0.646
2026-5-17 21:32:48:594,0.079,0.004,-1.036,-9.338,-41.87,-3.967,-4.08,12.67,-2.31,6.148,8.2,3.516
2026-5-17 21:32:48:614,0.061,-0.033,-0.96,-10.254,-40.466,-4.761,-4.24,13.34,-2.26,6.368,22.2,0.068
